,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
duration,125972.0,0.0,36172473.0,287.14692947639156,0.0,2604.525521953393,6783553.194506593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9590.579999999987,42908.0
src_bytes,125972.0,0.0,5740178825.0,45567.10082399263,44.0,5870354.480802253,34461061730275.086,0.0,0.0,0.0,0.0,0.0,44.0,276.0,848.0,1480.0,54540.0,1379963888.0
dst_bytes,125972.0,0.0,2491634381.0,19779.27143333439,0.0,4021285.112110193,16170733952879.086,0.0,0.0,0.0,0.0,0.0,0.0,516.0,3375.9000000000087,8314.0,25519.0,1309937401.0
land,125972.0,0.0,25.0,0.00019845679992379258,0.0,0.014086127570301627,0.00019841898992681165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wrong_fragment,125972.0,0.0,2858.0,0.02268758136728797,0.0,0.2535309841946221,0.06427795994669373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
urgent,125972.0,0.0,14.0,0.00011113580795732385,0.0,0.014366083637796777,0.0002063843590881723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hot,125972.0,0.0,25750.0,0.20441050392150636,0.0,2.149976890136269,4.622400628120021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0
num_failed_logins,125972.0,0.0,154.0,0.0012224938875305623,0.0,0.0452393184115397,0.0020465959303406747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
logged_in,125972.0,0.0,49852.0,0.3957387355920363,0.0,0.48901072282187213,0.23913148703476986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
num_compromised,125972.0,0.0,35178.0,0.279252532308767,0.0,23.942137259674524,573.2259365610951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7479.0
root_shell,125972.0,0.0,169.0,0.0013415679674848378,0.0,0.03660298892713887,0.0013397787984002504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
su_attempted,125972.0,0.0,139.0,0.0011034198075762869,0.0,0.045154562931791035,0.002038934553561077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
num_root,125972.0,0.0,38068.0,0.30219413837995746,0.0,24.399714920010982,595.3460881778066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7468.0
num_file_creations,125972.0,0.0,1596.0,0.012669482107134918,0.0,0.483936988895695,0.234195009221432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
num_shells,125972.0,0.0,52.0,0.0004127901438414886,0.0,0.02218121668861993,0.0004920063737875113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
num_access_files,125972.0,0.0,516.0,0.004096148350427079,0.0,0.09936994949412785,0.00987438686246552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
num_outbound_cmds,125972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_host_login,125972.0,0.0,1.0,7.938271996951703e-06,0.0,0.002817493921368199,7.938271996946751e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
is_guest_login,125972.0,0.0,1187.0,0.009422728860381672,0.0,0.09661270691350686,0.009334015137155177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
count,125972.0,0.0,10595279.0,84.10820658559045,14.0,114.50882817274541,13112.271729495335,0.0,1.0,1.0,1.0,2.0,14.0,143.0,256.0,286.0,511.0,511.0
srv_count,125972.0,0.0,3494223.0,27.738092592004573,8.0,72.63609175150437,5276.0018249329605,0.0,1.0,1.0,1.0,2.0,8.0,18.0,40.0,158.0,492.0,511.0
serror_rate,125972.0,0.0,35837.37,0.2844867907154004,0.0,0.44645667686818474,0.19932356432018275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
srv_serror_rate,125972.0,0.0,35585.530000000006,0.28248761629568686,0.0,0.4470235641277257,0.1998300668854549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
rerror_rate,125972.0,0.0,15111.53,0.11995943543009592,0.0,0.3204366143623881,0.10267962382402981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
srv_rerror_rate,125972.0,0.0,15265.820000000002,0.12118423141650571,0.0,0.323648332512523,0.10474824313813666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
same_srv_rate,125972.0,0.0,83258.04,0.6609249674530676,1.0,0.4396235693199996,0.19326888270165649,0.0,0.0,0.01,0.03,0.09,1.0,1.0,1.0,1.0,1.0,1.0
diff_srv_rate,125972.0,0.0,7942.93,0.06305313879277358,0.0,0.18031503569117222,0.03251351209630871,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.29,1.0,1.0
srv_diff_host_rate,125972.0,0.0,12259.900000000001,0.09732242085543502,0.0,0.2598313847427568,0.06751234849733852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,1.0,1.0
dst_host_count,125972.0,0.0,22945699.0,182.1491998221827,255.0,99.20656544795204,9841.942627978791,0.0,1.0,3.0,11.0,82.0,255.0,255.0,255.0,255.0,255.0,255.0
dst_host_srv_count,125972.0,0.0,14569131.0,115.65372463722098,63.0,110.70288552685408,12255.128863971757,0.0,1.0,1.0,2.0,10.0,63.0,255.0,255.0,255.0,255.0,255.0
dst_host_same_srv_rate,125972.0,0.0,65662.20999999999,0.5212444829009534,0.51,0.44895005494161483,0.20155615183207898,0.0,0.0,0.0,0.01,0.05,0.51,1.0,1.0,1.0,1.0,1.0
dst_host_diff_srv_rate,125972.0,0.0,10449.570000000002,0.08295152891119757,0.02,0.18892249085799753,0.035691707551990165,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.56,1.0,1.0
dst_host_same_src_port_rate,125972.0,0.0,18691.559999999998,0.14837868732736248,0.0,0.30899835082693217,0.09547998081376385,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.84,1.0,1.0,1.0
dst_host_srv_diff_host_rate,125972.0,0.0,4099.469999999999,0.03254270790335327,0.0,0.11256421432249014,0.012670702346039495,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.18,0.52,1.0
dst_host_serror_rate,125972.0,0.0,35833.33,0.2844547200965189,0.0,0.4447850936783885,0.19783377955849282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_srv_serror_rate,125972.0,0.0,35081.53,0.2784867272092056,0.0,0.4456702021150254,0.19862192905324758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_rerror_rate,125972.0,0.0,14969.55,0.11883235957197433,0.0,0.30655861345719265,0.09397818348479645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0,1.0,1.0
dst_host_srv_rerror_rate,125972.0,0.0,15146.98,0.12024084717239103,0.0,0.3194604788090911,0.10205499752093375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
last_flag,125972.0,0.0,2456965.0,19.504056456990444,20.0,2.2915116084141087,5.251025451496616,0.0,11.0,15.0,17.0,18.0,20.0,21.0,21.0,21.0,21.0,21.0
attack_class,125972.0,0.0,72432.0,0.5749849172832058,0.0,0.6941059350309275,0.4817830490451583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0
